x,Ser Millis,PPS Millis,,,
1064,1074448,1074004,,,
1065,1075386,1075005,,,
1066,1076396,1076005,,,
1067,1077433,1077006,,,
1068,1078443,1078006,,,
1069,1079431,1079007,,,
1070,1080444,1080007,,,
1071,1081373,1081009,,,
1072,1082450,1082009,,,
1073,1083397,1083010,,,
1074,1084381,1084010,,,
1075,1085377,1085010,,,
1076,1086394,1086011,,,
1077,1087397,1087011,,,
1078,1088396,1088012,,,
1079,1089405,1089012,,,
1080,1090391,1090013,,,
1081,1091393,1091013,,,
1082,1092409,1092014,,,
1083,1093447,1093014,,,
1084,1094463,1094014,,,
1085,1095450,1095015,,,
1086,1096444,1096015,,,
1087,1097400,1097016,,,
1088,1098449,1098016,,,
1089,1099430,1099017,,,
1090,1100468,1100017,,,
1091,1101436,1101018,,,
1092,1102389,1102018,,,
1093,1103390,1103019,,,
1094,1104390,1104019,,,
1095,1105396,1105019,,,
1096,1106409,1106020,,,
1097,1107400,1107020,,,
1098,1108410,1108021,,,
1099,1109409,1109021,,,
1100,1110416,1110022,,,
1101,1111398,1111023,,,
1102,1112419,1112024,,,
1103,1113407,1113024,,,
1104,1114463,1114024,,,
1105,1115458,1115025,,,
1106,1116391,1116025,,,
1107,1117462,1117026,,,
1108,1118405,1118026,,,
1109,1119453,1119027,,,
1110,1120411,1120027,,,
1111,1121422,1121028,,,
1112,1122423,1122028,,,
1113,1123364,1123028,,,
1114,1124384,1124029,,,
1115,1125359,1125029,,,
1116,1126376,1126030,,,
1117,1127374,1127030,,,
1118,1128378,1128031,,,
1119,1129378,1129031,,,
1120,1130435,1130032,,,
1121,1131429,1131032,,,
1122,1132424,1132033,,,
1123,1133423,1133033,,,
1124,1134434,1134033,,,
1125,1135469,1135034,,,
1126,1136471,1136034,,,
1127,1137425,1137035,,,
1128,1138479,1138035,,,
1129,1139426,1139036,,,
1130,1140476,1140036,,,
1131,1141478,1141038,,,
1132,1142491,1142038,,,
1133,1143462,1143038,,,
1134,1144413,1144039,,,
1135,1145408,1145039,,,
1136,1146425,1146040,,,
1137,1147486,1147040,,,
1138,1148497,1148041,,,
1139,1149417,1149041,,,
1140,1150486,1150042,,,
1141,1151489,1151042,,,
1142,1152499,1152043,,,
1143,1153483,1153043,,,
1144,1154509,1154043,,,
1145,1155493,1155044,,,
1146,1156538,1156044,,,
1147,1157520,1157045,,,
1148,1158518,1158045,,,
1149,1159526,1159046,,,
1150,1160541,1160046,,,
1151,1161527,1161047,,,
1152,1162486,1162047,,,
1153,1163484,1163047,,,
1154,1164493,1164048,,,
1155,1165504,1165048,,,
1156,1166508,1166049,,,
1157,1167491,1167049,,,
1158,1168489,1168050,,,
1159,1169425,1169050,,,
1160,1170490,1170051,,,
